,Week,Home_team,Away_team,Vegas_line,Over_under,Day,Gametime,Home_points,Away_points,home_pass_att,home_pass_complt,home_deep_att,home_deep_complt,home_pass_first_down,home_pass_yds,home_sacked,home_interceptions_thrown,home_rush_att,home_rush_yds,home_positive_run,home_negative_run,home_run_first_down,home_third_down_conv,home_third_down_att,home_time_of_poss,home_total_drives,home_scoring_drives,home_plays_winning,vis_pass_att,vis_pass_complt,vis_deep_att,vis_deep_complt,vis_pass_first_down,vis_pass_yds,vis_sacked,vis_interceptions_thrown,vis_rush_att,vis_rush_yds,vis_positive_run,vis_negative_run,vis_run_first_down,vis_third_down_conv,vis_third_down_att,vis_time_of_poss,vis_total_drives,vis_scoring_drives,vis_plays_winning,Game_type,home_total_plays,vis_total_plays,total_plays,Home_margin_of_win/loss,Away_margin_of_win/loss,home_pass_complete_pct,home_pass_complete_pct_def,away_pass_complete_pct,away_pass_complete_pct_def,home_deep_complete_pct,home_deep_complete_pct_def,away_deep_complete_pct,away_deep_complete_pct_def,home_pass_first_down_pct,home_pass_first_down_pct_def,away_pass_first_down_pct,away_pass_first_down_pct_def,home_yds_per_pass,home_yds_per_pass_def,away_yds_per_pass,away_yds_per_pass_def,home_pass_yds_pg,home_pass_yds_pg_def,away_pass_yds_pg,away_pass_yds_pg_def,home_interception_pct,home_interception_pct_def,away_interception_pct,away_interception_pct_def,home_sack_pct,home_sack_pct_def,away_sack_pct,away_sack_pct_def,home_positive_run_pct,home_positive_run_pct_def,away_positive_run_pct,away_positive_run_pct_def,home_negative_run_pct,home_negative_run_pct_def,away_negative_run_pct,away_negative_run_pct_def,home_run_first_down_pct,home_run_first_down_pct_def,away_run_first_down_pct,away_run_first_down_pct_def,home_yds_per_rush,home_yds_per_rush_def,away_yds_per_rush,away_yds_per_rush_def,home_rush_yds_pg,home_rush_yds_pg_def,away_rush_yds_pg,away_rush_yds_pg_def,home_third_down_conv_pct,home_third_down_conv_pct_def,away_third_down_conv_pct,away_third_down_conv_pct_def,home_scoring_drive_pct,home_scoring_drive_pct_def,away_scoring_drive_pct,away_scoring_drive_pct_def,home_avg_time_of_poss,home_avg_time_of_poss_def,away_avg_time_of_poss,away_avg_time_of_poss_def,home_winning_play_pct,vis_winning_play_pct,home_avg_winloss_margin,away_avg_winloss_margin,Favorite,Point_total,Home_line,Home_cover,Away_line,Away_cover,Home_win,Away_win,home_pct_games_covered,away_pct_games_covered,home_pct_games_won,away_pct_games_won,home_pct_games_over,away_pct_games_over
0,1,NWE,KAN,8,1,Thu,8:30PM,27,42,36,16,15,3,9,267,3,0,35,124,19,3,10,5,15,29.76666667,14,5,108,35,28,7,3,17,368,3,0,27,185,17,0,8,4,11,30.23333333,14,6,67,1,71,62,133,-15,15,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NWE,47.5,-8,0,8,1,0,1,0,0,0,0,0,0
1,1,CHI,ATL,6.5,0,Sun,1:00PM,17,23,40,26,1,0,11,213,4,0,19,125,11,1,6,5,13,29.43333333,9,3,0,30,21,3,2,12,321,2,0,23,64,11,2,4,5,11,30.56666667,10,5,90,2,59,53,112,-6,6,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,48,6.5,1,-6.5,0,0,1,0,0,0,0,0,0
2,1,BUF,NYJ,7,0,Sun,1:00PM,21,12,28,16,4,2,11,224,2,1,42,190,21,5,10,8,17,33.06666667,12,3,125,39,26,3,1,8,187,1,2,15,38,4,0,2,4,14,26.93333333,12,3,0,2,70,54,124,9,-9,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUF,42,-7,1,7,0,1,0,0,0,0,0,0,0
3,1,CLE,PIT,10,0,Sun,1:00PM,18,21,30,20,10,3,11,222,7,1,25,57,9,1,3,3,12,31.16666667,11,3,0,36,24,4,2,13,263,1,1,17,35,6,1,1,5,13,28.83333333,10,2,110,2,55,53,108,-3,3,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,47,10,1,-10,0,0,1,0,0,0,0,0,0
4,1,CIN,BAL,2.5,0,Sun,1:00PM,0,20,31,16,6,1,8,170,5,4,22,77,8,2,2,4,13,26,12,0,0,17,9,1,0,5,121,1,1,42,157,22,5,8,6,14,34,12,4,140,2,53,59,112,-20,20,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CIN,41.5,-2.5,0,2.5,1,0,1,0,0,0,0,0,0
5,1,WAS,PHI,2,0,Sun,1:00PM,17,30,40,23,7,1,12,240,4,1,17,64,11,3,3,3,11,25.73333333,10,2,15,39,26,8,2,16,307,2,1,24,58,12,2,1,8,14,34.26666667,12,5,143,2,57,63,120,-13,13,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,49.5,2,0,-2,1,0,1,0,0,0,0,0,0
6,1,DET,ARI,2.5,1,Sun,1:00PM,35,23,41,29,6,5,13,292,1,1,27,82,11,4,3,8,16,33.33333333,13,5,37,48,27,6,1,14,268,1,3,18,45,6,2,3,6,15,26.66666667,12,3,140,2,68,66,134,12,-12,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,48.5,2.5,1,-2.5,0,1,0,0,0,0,0,0,0
7,1,HOU,JAX,5.5,0,Sun,1:00PM,7,29,36,19,6,0,11,164,10,1,23,93,16,3,4,5,12,29.91666667,12,1,0,21,11,4,1,7,125,0,0,39,155,20,3,7,3,12,30.08333333,11,5,169,2,59,60,119,-22,22,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,38,-5.5,0,5.5,1,0,1,0,0,0,0,0,0
8,1,TEN,OAK,2.5,0,Sun,1:00PM,16,26,41,25,8,4,14,256,1,0,21,95,11,3,5,7,14,28.35,9,4,0,32,22,3,3,16,262,2,0,29,109,17,1,5,5,12,31.65,10,6,137,2,62,61,123,-10,10,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TEN,49.5,-2.5,0,2.5,1,0,1,0,0,0,0,0,0
9,1,LAR,IND,3.5,1,Sun,4:05PM,46,9,30,22,6,5,13,318,1,0,33,63,9,2,5,5,14,34.41666667,12,6,151,21,11,4,2,7,179,4,2,24,75,10,4,2,0,10,25.58333333,15,2,0,3,63,45,108,37,-37,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAR,41.5,-3.5,1,3.5,0,1,0,0,0,0,0,0,0
